signal_mode,z_window,entry_z,max_hold,cost_bps,Sharpe,CAGR,MaxDD,AvgTurnover,TotalCost,HitRate,AvgWin,AvgLoss,Payoff,AvgHoldDays,SharpeRank,CAGRank,TurnoverRank
price_ma_z,60,3.0,5,0.0,0.448723852523055,0.013034895062046026,-0.045282416324969765,0.02907358140380132,0.0,0.5303030303030303,0.009604149680622374,-0.0069178128535375945,1.3883216970391234,5.803030303030303,1.0,14.0,101.0
price_ma_z,40,3.0,5,0.0,0.413728402550796,0.013124130331778616,-0.06482886011961142,0.034511223267336306,0.0,0.48148148148148145,0.011339441026486125,-0.008302399369181255,1.3658028868833334,5.555555555555555,2.0,12.0,109.0
price_ma_z,40,2.0,3,0.0,0.37990594218640467,0.022879440403504203,-0.14446825403788155,0.2087451167064227,0.0,0.543918918918919,0.009126882720477942,-0.010497699722732528,0.8694173925278018,6.625,3.0,2.0,237.0
price_ma_z,60,2.5,3,0.0,0.3791578773672117,0.014459852406279783,-0.0595680860464296,0.07453661544103848,0.0,0.5095541401273885,0.007172426693534453,-0.0076730951171341405,0.9347501345993109,4.624203821656051,4.0,7.0,153.0
price_ma_z,40,2.0,5,0.0,0.3588446461878067,0.023331949530356777,-0.1675254372999394,0.1892963234438104,0.0,0.5350877192982456,0.012764222434554422,-0.012959515723289596,0.9849305102979881,10.276315789473685,5.0,1.0,233.0
price_ma_z,20,2.5,10,0.0,0.34321980592249784,0.022523448117582667,-0.15215426059165393,0.10690951371758811,0.0,0.575,0.01290902734569228,-0.016984374312298715,0.7600531587639707,11.95,6.0,3.0,205.0
return_z,20,3.0,5,0.0,0.34293397352745253,0.006073751926915394,-0.048080385106363144,0.0211200765863828,0.0,0.03508771929824561,0.01382064030686508,-0.009654682296898552,1.431496126113315,2.0,7.0,25.0,73.0
return_z,20,3.0,10,0.0,0.33513161844628325,0.005981110296304326,-0.039128394665835176,0.021339599579983794,0.0,0.03508771929824561,0.01382064030686508,-0.010326643859653825,1.3383477240715438,2.1228070175438596,8.0,26.0,81.0
price_ma_z,20,2.5,5,0.0,0.3323063257715787,0.018643745732691563,-0.16756937216889978,0.10753161540998761,0.0,0.52,0.009875440606734167,-0.011200125818126589,0.8817258633605245,6.095,9.0,4.0,209.0
price_ma_z,40,3.0,10,0.0,0.33203977492924797,0.013958872627658048,-0.09281786717595919,0.03503265435076686,0.0,0.5714285714285714,0.015156507129549879,-0.012399517185573762,1.2223465561371811,10.35064935064935,10.0,8.0,113.0
price_ma_z,60,2.5,5,0.0,0.32615223032190166,0.013497877498453548,-0.07165953072009135,0.06853113903000606,0.0,0.5481481481481482,0.008092742087188865,-0.008100981919908566,0.9989828600037421,6.940740740740741,11.0,11.0,149.0
return_z,20,3.0,3,0.0,0.3212192208331356,0.005428296842335367,-0.04339679307858513,0.02125017502059583,0.0,0.05263157894736842,0.009366267267656471,-0.007018166364913057,1.3345746995230288,1.7719298245614035,12.0,28.0,77.0
price_ma_z,40,3.0,3,0.0,0.32094545140131453,0.008386587857633243,-0.06308248728588794,0.03510105419379098,0.0,0.5977011494252874,0.00867954707856081,-0.00848374008089813,1.0230802683481022,3.4482758620689653,13.0,20.0,117.0
price_ma_z,60,3.0,5,5.0,0.32068666063122225,0.009330662395706568,-0.04742231276921871,0.02907358140380132,0.07312005723056032,0.5151515151515151,0.009257795202052358,-0.007209813665351009,1.2840547109481564,5.803030303030303,14.0,17.0,101.0
price_ma_z,40,2.5,5,0.0,0.3088903094975491,0.015237270905390732,-0.0915861748657063,0.09106056587382454,0.0,0.543859649122807,0.00874306956234717,-0.01013660570494031,0.8625243811235582,6.742690058479532,15.0,6.0,173.0
price_ma_z,40,2.5,3,0.0,0.2961422021834408,0.013042257971456195,-0.09659021413989566,0.0957214523720148,0.0,0.5577889447236181,0.007081683749044635,-0.008816745813746994,0.8032083377069729,4.241206030150754,16.0,13.0,201.0
return_z,40,4.0,5,0.0,0.2938456597376237,0.0037882984280275256,-0.03994826405875873,0.005362193966484728,0.0,0.0625,0.0275498981822206,-0.018425734526073913,1.4951858848956743,1.4375,17.0,40.0,49.0
return_z,40,4.0,10,0.0,0.2938456597376237,0.0037882984280275256,-0.03994826405875873,0.005362193966484728,0.0,0.0625,0.0275498981822206,-0.018425734526073913,1.4951858848956743,1.4375,17.0,40.0,49.0
price_ma_z,40,2.5,10,0.0,0.28919777357991244,0.017306105653339232,-0.12520761845256578,0.08784680012668585,0.0,0.5461538461538461,0.015043026141511578,-0.013774678632235644,1.092078192394829,13.561538461538461,19.0,5.0,169.0
price_ma_z,40,3.0,5,5.0,0.2757074856625905,0.008728211610596892,-0.07530467784129935,0.034511223267336306,0.08679572651735082,0.4691358024691358,0.01096708462449073,-0.00851820764590192,1.2874873541932212,5.555555555555555,20.0,19.0,109.0
price_ma_z,60,2.5,10,0.0,0.2661303764747437,0.01350160907912823,-0.11251201873189065,0.06405183164258303,0.0,0.5392156862745098,0.013807558921410617,-0.011719682977371897,1.1781512305469306,13.627450980392156,21.0,10.0,145.0
return_z,40,3.0,5,0.0,0.25675174232395453,0.006445105410937568,-0.064510712155595,0.036251172015861644,0.0,0.07446808510638298,0.004668487512340896,-0.009864312946486589,0.4732704180886404,2.234042553191489,22.0,23.0,121.0
price_ma_z,60,4.0,5,0.0,0.25591139093973575,0.0025103035882874103,-0.02358858075521375,0.00326071454020006,0.0,0.6666666666666666,0.011256476273766419,-0.00721603135523104,1.5599261865189074,4.555555555555555,23.0,53.0,41.0
