train_start,train_end,test_start,test_end,Sharpe,IS_Sharpe,WFE_Sharpe,CAGR,IS_CAGR,WFE_CAGR,MaxDD,AvgTurnover,TotalCost,AvgGrossExposure,PctInvested
2006-01-01,2008-12-31,2009-01-02,2009-12-31,,0.6737794570566452,,0.0,0.013199881803830138,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,2009-12-31,2010-01-04,2010-12-31,-0.382004949943482,0.6299274779283197,-0.6064268718675435,-0.020380935146362966,0.009844237818169566,-2.070341607223848,-0.06662191420018637,0.0312316360839792,0.007870372293162758,0.08093259370319551,0.10317460317460317
2008-01-01,2010-12-31,2011-01-03,2011-12-30,0.4583358926847971,-0.22065485386168854,-2.077162068558403,0.01698998263539342,-0.006831323289467228,-2.4870705009070737,-0.04447949788040284,0.03391090311558241,0.008545547585126769,0.07524356809895924,0.09126984126984126
2009-01-01,2011-12-31,2012-01-03,2012-12-31,0.35736936872273867,-0.033166276437173736,-10.775082617420043,0.012902390197360836,-0.0012472965168407457,-10.34428463733793,-0.03423138577483231,0.04692657992670119,0.0117316449816753,0.10077063710535436,0.128
2010-01-01,2012-12-31,2013-01-02,2013-12-31,-0.6988935692056619,0.06981446853333535,-10.010726771800186,-0.021545330598119694,0.0030037344741298266,-7.17284792769884,-0.05117134444764504,0.046186652873196024,0.011639036524045398,0.11227274511408962,0.11904761904761904
2011-01-01,2013-12-31,2014-01-02,2014-12-31,-0.5779314984519776,0.07507913190935936,-7.697631602209997,-0.016754624978084887,0.0026051256225601005,-6.43140769604033,-0.02440421955280736,0.05250203471096821,0.013230512747163987,0.14225859714243103,0.15873015873015872
2012-01-01,2014-12-31,2015-01-02,2015-12-31,0.21395123692856183,-0.26966487309571324,-0.7933967612185931,0.005488457531120039,-0.008638515165396043,-0.6353473283354957,-0.02211291666842874,0.023809523809523808,0.006,0.05907644563012645,0.05952380952380952
2013-01-01,2015-12-31,2016-01-04,2016-12-30,1.153407437065494,-0.3852922974008753,-2.993590696845511,0.041654238365326,-0.011006955407034447,-3.7843560571441173,-0.017037493988216634,0.031157886722448864,0.007851787454057114,0.06213924339946899,0.06746031746031746
2014-01-01,2016-12-31,2017-01-03,2017-12-29,-1.2849909629035938,0.32292096509917717,-3.979273883654289,-0.016428644576414908,0.009843781951145658,-1.6689362541703676,-0.01636398789084359,0.02390438247011952,0.006000000000000001,0.05976095617529881,0.05976095617529881
2015-01-01,2017-12-31,2018-01-02,2018-12-31,-0.13624109990385425,0.37792587926090593,-0.3604968788332129,-0.0052122674620297405,0.009990780092855589,-0.5217077559095745,-0.025852988798893972,0.06722114727584878,0.016872507966238046,0.15476754678277788,0.16733067729083664
2016-01-01,2018-12-31,2019-01-02,2019-12-31,-1.0251801408181,0.20572347929958032,-4.983291864927113,-0.03478384140570134,0.006405837958843863,-5.430022056314892,-0.042082155353773465,0.06760540498244455,0.01703656205557603,0.15924821978913767,0.17063492063492064
2017-01-01,2019-12-31,2020-01-02,2020-12-31,-0.5633957501100039,-0.6219350742189687,0.9058755060848128,-0.030000950649835323,-0.01890540842675681,1.5868977793346692,-0.05962557336812313,0.03645913024335771,0.009224159951569503,0.07713198042490402,0.09486166007905138
2018-01-01,2020-12-31,2021-01-04,2021-12-31,1.5304736976558797,-0.5502219942418582,-2.7815567419559337,0.052141591072884186,-0.023450470828681236,-2.223477364433643,-0.018989386120690455,0.04553234588230109,0.011474151162339874,0.10049852390257878,0.10714285714285714
2019-01-01,2021-12-31,2022-01-03,2022-12-30,0.6316919353358725,-0.12086350436244844,-5.226490317884043,0.01493021312732501,-0.005032808121461785,-2.966577061354072,-0.012930656489762216,0.004841013971176885,0.0012150945067653982,0.009855080416804598,0.0199203187250996
2020-01-01,2022-12-31,2023-01-03,2023-12-29,0.2973533082989596,0.2984300619134797,0.9963919398480966,0.00831636241503464,0.011737578335479837,0.708524550579254,-0.0168103192694804,0.03687256034523377,0.009218140086308444,0.07932394811751523,0.084
2021-01-01,2023-12-31,2024-01-02,2024-12-31,-0.9727871513841141,0.8681967931292531,-1.1204684918011325,-0.03957334105336052,0.025007240367792782,-1.5824753339967752,-0.06269782225494536,0.07039809371876823,0.017740319617129595,0.1511167814187279,0.19047619047619047
2022-01-01,2024-12-31,2025-01-02,2025-12-31,2.8418973929616995,-0.1825739853547796,-15.565730174752423,0.08210543424743855,-0.0058063089570844495,-14.14072775911438,-0.005523228999902763,0.03981627272785043,0.00995406818196261,0.08297938967657038,0.088
